antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"frozenset({'garlic clove', 'oregano'})",frozenset({'basil'}),0.067032702,0.205080246,0.038373356,0.572457246,2.791381698,0.024626273,1.859275466,0.687863848
"frozenset({'basil', 'pepper'})",frozenset({'garlic clove'}),0.036864969,0.296186799,0.019186678,0.520458265,1.757196025,0.008267761,1.467678724,0.447405104
"frozenset({'basil', 'red pepper flake'})",frozenset({'garlic clove'}),0.030590081,0.296186799,0.017014601,0.556213018,1.877912927,0.007954223,1.585925747,0.482245888
"frozenset({'basil', 'sugar'})",frozenset({'garlic clove'}),0.022565464,0.296186799,0.012549777,0.556149733,1.87769926,0.005866184,1.585699622,0.478224715
"frozenset({'tomato paste', 'basil'})",frozenset({'garlic clove'}),0.029624713,0.296186799,0.015264873,0.515274949,1.739695866,0.006490424,1.451984378,0.438167471
"frozenset({'garlic powder', 'basil'})",frozenset({'oregano'}),0.018703994,0.162302401,0.012730783,0.680645161,4.193685094,0.00969508,2.623093491,0.776061688
"frozenset({'garlic powder', 'oregano'})",frozenset({'basil'}),0.021298419,0.205080246,0.012730783,0.597733711,2.914633282,0.008362898,1.976103332,0.671199145
"frozenset({'mozzarella cheese', 'oregano'})",frozenset({'basil'}),0.034089538,0.205080246,0.018522988,0.543362832,2.649513261,0.011531897,1.740812639,0.644544406
"frozenset({'basil', 'mozzarella cheese'})",frozenset({'parmesan cheese'}),0.041631471,0.316640521,0.023229154,0.557971014,1.762159221,0.010046943,1.545960788,0.451302789
"frozenset({'basil', 'mushroom'})",frozenset({'onion'}),0.020634729,0.283999035,0.012610112,0.611111111,2.151807001,0.006749869,1.84114534,0.546552265
"frozenset({'basil', 'mushroom'})",frozenset({'oregano'}),0.020634729,0.162302401,0.012610112,0.611111111,3.765262288,0.009261046,2.154079539,0.749887988
"frozenset({'mushroom', 'oregano'})",frozenset({'basil'}),0.021539761,0.205080246,0.012610112,0.585434174,2.854659016,0.008192733,1.917475352,0.663997819
"frozenset({'basil', 'onion'})",frozenset({'olive oil'}),0.083805961,0.371787136,0.045251599,0.539956803,1.452327825,0.014093621,1.365551905,0.33993915
"frozenset({'olive oil', 'oregano'})",frozenset({'basil'}),0.076022686,0.205080246,0.041269458,0.542857143,2.647047451,0.025678707,1.738886962,0.673415451
"frozenset({'parmesan cheese', 'basil'})",frozenset({'olive oil'}),0.083504284,0.371787136,0.041752142,0.5,1.344855566,0.010706323,1.256425727,0.279789335
"frozenset({'basil', 'pepper'})",frozenset({'olive oil'}),0.036864969,0.371787136,0.018643659,0.505728314,1.360263077,0.004937737,1.270986952,0.274985418
"frozenset({'basil', 'red pepper flake'})",frozenset({'olive oil'}),0.030590081,0.371787136,0.017376614,0.568047337,1.527883247,0.006003615,1.454355807,0.356402097
"frozenset({'basil', 'salt'})",frozenset({'olive oil'}),0.086400386,0.371787136,0.044286231,0.512569832,1.378664785,0.012163679,1.28882639,0.300635546
"frozenset({'basil', 'salt pepper'})",frozenset({'olive oil'}),0.031012429,0.371787136,0.017014601,0.548638132,1.475678092,0.005484579,1.39181643,0.332662092
"frozenset({'basil', 'sugar'})",frozenset({'olive oil'}),0.022565464,0.371787136,0.013153131,0.582887701,1.567799537,0.004763582,1.50610007,0.370524408
"frozenset({'basil', 'tomato'})",frozenset({'olive oil'}),0.083745626,0.371787136,0.044346567,0.529538905,1.424306688,0.013211021,1.3353131,0.325132439
"frozenset({'tomato paste', 'basil'})",frozenset({'olive oil'}),0.029624713,0.371787136,0.015264873,0.515274949,1.385940767,0.004250785,1.296018975,0.286969842
"frozenset({'basil', 'onion'})",frozenset({'oregano'}),0.083805961,0.162302401,0.04470858,0.533477322,3.28693425,0.031106671,1.795620316,0.759408056
"frozenset({'basil', 'oregano'})",frozenset({'onion'}),0.087003741,0.283999035,0.04470858,0.513869626,1.80940624,0.019999601,1.472857906,0.489960948
"frozenset({'onion', 'oregano'})",frozenset({'basil'}),0.076264028,0.205080246,0.04470858,0.586234177,2.858559945,0.029068334,1.921182732,0.703852104
"frozenset({'basil', 'parsley'})",frozenset({'onion'}),0.044768915,0.283999035,0.022927477,0.51212938,1.803278595,0.010213148,1.467604189,0.46633168
"frozenset({'basil', 'red wine'})",frozenset({'onion'}),0.01490286,0.283999035,0.010438035,0.700404858,2.466222673,0.006205638,2.389895114,0.60351572
"frozenset({'basil', 'sugar'})",frozenset({'onion'}),0.022565464,0.283999035,0.012248099,0.542780749,1.911206316,0.005839529,1.565990415,0.48777717
